:T -------------------------------------------------------------------------
:T        DETAILED ATOMIC DATASET FOR THE OII/OIII RBB TRANSITIONS
:T -------------------------------------------------------------------------
:T
:T   * Lines_O.dat: Version compatible to FASTWIND data set O
:T
:T -------------------------------------------------------------------------
:T
:T  Notes:
:T 
:T     i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T        required
:T    ii. Last two columns correspond to Number of line and Sum(gi) 
:T   iii. Wavelengths are wavelengths in air
:T    iv. Both damping constants are divided by 4pi 
:T     v. The multiplet is identified by the NIST database number. 
:T    vi. Radiative lifetimes from VALD/NIST databases
:T   vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T  Setup: Miguel A. Urbaneja
:T  Last revision: 17/12/2002
:T
:T {18/02/2003} Added some OIII lines
:T {30/12/2004} Ordered and revised by Sergio Simon
:T {05/05/2009} Ordered and revised by Sergio Simon (again)
:T
:T  viii. f values from Becker & Butler (used in A10)
:T
:V2
:T
:T =========================================================================
:T			OXYGEN   OII OIII
:T =========================================================================
:T
CL  TY  RBB  2  7  RBB
:T
:T-L0-----L1---N--lambda---gf/s(g)----------------------------------s(g)----
:T
:T
:T ------------------------------------------------------------------
:T  2s2.2p2.(3P).3s-2s2.2p2.(3P).3p 
:T ------------------------------------------------------------------
:T
:T === 4P-4Do === NIST 64 --- f = 0.4476 --- 2s2 2p2 (3P) 3p (4Do)
 O2012  O2020  2  4129.32   .0358  3.92E+8   0.0   0.0    .93E-06    12.
 O2012  O2020  3  4132.80   .0358  3.92E+8   0.0   0.0    .93E-06    12.
 O2012  O2020  4  4140.70   .0114  3.92E+8   0.0   0.0    .93E-06    12.
 O2012  O2020  5  4153.30   .0385  3.92E+8   0.0   0.0    .93E-06    12.
 O2012  O2020  6  4156.53   .0385  3.92E+8   0.0   0.0    .93E-06    12.
 O2012  O2020  7  4169.22   .0895  3.92E+8   0.0   0.0    .93E-06    12.
:T   
:T === 4Po-4D === NIST 108 ---- f = 0.6423 --- 2s2 2p2 (3P) 3d (4D)
 O2012  O2022  1  4097.22   .0539  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  2  4103.00   .0538  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  3  4104.72   .1356  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  4  4104.99   .0689  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  5  4110.79   .0107  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  6  4119.22   .2574  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  7  4120.28   .0579  2.81E+7    0.0    0.0  .93E-06    12.
 O2012  O2022  8  4120.55   .0064  2.81E+7    0.0    0.0  .93E-06    12.
:T
:T === 2Do-2F === NIST 118 ---- f = 0.6648 --- 2s2 2p2 (3P) 3d (2F)
 O2013  O2023  1  4705.346  0.3729  0.21E9    0.    0.    0.96E-6     10.
 O2013  O2023  2  4741.704  0.0185  0.21E9    0.    0.    0.96E-6     10.
 O2013  O2023  3  4699.70   0.2614  0.21E9    0.    0.    0.96E-6     10.
:T
:T === 4So-4P === NIST 140 ---- f = 0.7123 --- 2s2 2p2 (3P) 3d (4P)
 O2014  O2020  1  4890.858  0.0914  3.241E8    0.    0.    3.99E-8      4.
 O2014  O2020  2  4906.830  0.1726  3.241E8    0.    0.    3.99E-8      4. 
 O2014  O2020  3  4924.525  0.3388  3.241E8    0.    0.    3.99E-8      4. 
:T
:T === 2Po-2P === NIST xxx ---- f = xxxx --- 2s2 2p2 (3P) 3d (2P)
 O2016  O2024  1  5159.95   0.0592   0.81E9   0.    0.    0.10E-5      6.
 O2016  O2024  2  5175.91   0.0295   0.81E9   0.    0.    0.10E-5      6.
 O2016  O2024  3  5190.49   0.0294   0.81E9   0.    0.    0.10E-5      6.
 O2016  O2024  4  5206.64   0.1467   0.81E9   0.    0.    0.10E-5      6.
:T
:T === 2Po-2D === NIST 148 ---- f = 0.5963 --- 2s2 2p2 (3P) 3d (2D)
 O2016  O2025  1  4941.069  0.1475  1.823E8    0.    0.    3.99E-8      6.
 O2016  O2025  2  4942.999  0.2890  1.823E8    0.    0.    3.99E-8      6.
 O2016  O2025  3  4955.707  0.0397  1.823E8    0.    0.    3.99E-8      6.
:T
:T ------------------------------------------------------------------
:T  2s2.2p2.(1D).3s-2s2.2p2.(1D).3p 
:T ------------------------------------------------------------------
:T
:T === 2D-2Fo === NIST 99 ---- f = 0.3975 --- 2s2 2p2 (1D) 3p (2Fo)
 O2011	O2017  1  4590.97   0.2256  1.41E+8   0.0   0.0    .83E-06    10.
 O2011	O2017  2  4595.96   0.0113  8.23E+6   0.0   0.0    .83E-06    10.
 O2011	O2017  3  4596.18   0.1578  1.41E+8   0.0   0.0    .83E-06    10.
:T
:T === 2D-2Do === NIST 100 ---- f = 0.2920 --- 2s2 2p2 (1D) 3p (2Do)
