:T
:T Lines.dat: Version compatible with FASTWIND data set 
:T
:T Notes: 
:T      i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T         required
:T     ii. Last two columns correspond to Number of line and Sum(gi) 
:T     iii. Wavelengths are wavelengths in air
:T     iv. Both damping constants are divided by 4pi 
:T      v. The multiplet is identified by the NIST database number. 
:T     vi. Radiative lifetimes from VALD/NIST databases
:T    vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T ********************************************************************
:T 
:T OII-III
:T
:T Miguel A. Urbaneja
:T Last revision: April 2007
:T
:T *******************************************************************
:T  
:T *******************************************************************
:T         OXYGEN   OII OIII
:T *******************************************************************       
:T
     CL  TY  RBB  2  7  RBB
:T Jan 2020
 O2010  O2023  10 3875.810  .00064  2.24E+8  0.0    0.0    5.08E-7    20. 
 O2011  O2021  3  3919.27    .0565  1.49E+8    0.0    0.0  .91E-06    10.
 O2006  O2014  1  3712.746   .0189  0.79E+8    0.0    0.0  .37E-06    12.
 O2006  O2014  2  3727.326   .0392  0.79E+8    0.0    0.0  .37E-06    12.
 O2006  O2014  3  3749.486   .0631  0.79E+8    0.0    0.0  .37E-06    12.
:T
 O2012  O2022  1  4097.22    .0318  2.81E+7    0.0    0.0  .93E-06    12.
:T:T O2012  O2022  2  4103.00    .0224  2.81E+7    0.0    0.0  .93E-06    12.
:T:T O2012  O2022  3  4104.734   .1321  7.87E+7    0.0    0.0  2.64E-07   12.
:T:T O2012  O2022  4  4104.992   .0677  1.26E+8    0.0    0.0  2.64E-07   12.
:T lambda and fij from NIST 
 O2012  O2022  2  4102.9999  .0178  7.78E+7    0.0    0.0  2.64E-07   12.
 O2012  O2022  3  4104.7231  .0416  7.78E+7    0.0    0.0  2.64E-07   12. 
 O2012  O2022  4  4104.9930  .0805  7.78E+7    0.0    0.0  2.64E-07   12. 
:T 
 O2012  O2022  5  4110.79    .0340  2.81E+7    0.0    0.0  2.64E-07   12.
 O2012  O2022  6  4119.215   .25166 9.79E+7    0.0    0.0  2.64E-07   12.
 O2012  O2022  7  4120.294   .05634 7.76E+7    0.0    0.0  2.64E-07   12.
 O2012  O2022  8  4120.553   .00632 1.26E+8    0.0    0.0  2.64E-07   12.
 O2012  O2022  9  4121.461   .03952 3.17E+8    0.0    0.0  2.52E-07   12. 
:T
 O2007  O2009  1  6641.03    .0218  3.24E+8    0.0    0.0  .45E-06     6.
